ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
2827	Bunoge	fight (verb only)	lutter (verbe seulement)	ɲɔ́ŋɛ̀	ɲɔ́ŋɛ̀	ɲɔ́ŋɛ̀	1423	FIGHT	ɲ ⁵/ɔ ŋ ¹/ɛ	4 7 4 7	AXBZ	NUNE	16	16.N.C 16.U.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	0	1419
2828	Dogul_Dom	fight (verb only)	lutter (verbe seulement)	jà:l-yé	jà:l-yé	jà:l-yé	1423	FIGHT	dʒ ¹/aː l + j ⁵/e	1 7 5 9 6 7	AXN_AX	TAL_JE	17	17.T.C 17.A.V 17.L.c 17._._ 17.J.C 17.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	1416 1415
2829	Bondu_So	fight (verb only)	lutter (verbe seulement)	já:ŋí-y	já:ŋí-y	já:ŋí-y	1423	FIGHT	dʒ ⁵/aː ŋ ⁵/i + j	1 7 4 7 9 6	AXBZ_A	TANI_J	6	6.T.C 6.A.V 6.N.C 6.I.V 6._._ 6.J.C	2.0 1.5 1.75 0.8 0.0 2.0	0	1417 1418
2830	Nanga	fight (verb only)	lutter (verbe seulement)	jòrí-yé	jòríyé	jòrí-yé	1423	FIGHT	dʒ ¹/o r ⁵/i + j ⁵/e	1 7 5 7 9 6 7	AXBZ_AX	TURI_JE	24	24.T.C 24.U.V 24.R.C 24.I.V 24._._ 24.J.C 24.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1417 1415
2831	Tebul_Ure	fight (verb only)	lutter (verbe seulement)	zè-jí	zèjí	zèjí	1423	FIGHT	z ¹/e + dʒ ⁵/i	3 7 9 1 7	AX_AX	SE_TI	30	30.S.C 30.E.V 30._._ 30.T.C 30.I.V	2.0 1.5 0.0 2.0 1.5	0	1414 1416
2832	Togo_Kan	fight (verb only)	lutter (verbe seulement)	jày-î:	jày-î:	jày-î:	1423	FIGHT	dʒ ¹/a + j ⁵¹/iː	1 7 9 6 7	AX_AX	TA_JI	32	32.T.C 32.A.V 32._._ 32.J.C 32.I.V	2.0 1.5 0.0 2.0 1.5	0	1416 1415
2833	Tommo_So	fight (verb only)	lutter (verbe seulement)	jàwí-yɛ́	jàwí-yɛ́	jàwí-yɛ́	1423	FIGHT	dʒ ¹/a w ⁵/i + j ⁵/ɛ	1 7 6 7 9 6 7	AXBZ_AX	TAWI_JE	33	33.T.C 33.A.V 33.W.C 33.I.V 33._._ 33.J.C 33.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1416 1415
2834	Toro_Tegu	fight (verb only)	lutter (verbe seulement)	zɔ̌ŋ	zɔ̌ŋ	zɔ̌ŋ	1423	FIGHT	z ¹⁵/ɔ ŋ	3 7 4	AXN	SUN	36	36.S.C 36.U.V 36.N.c	2.0 1.5 0.8	0	1426
2835	Yanda_Dom	fight (verb only)	lutter (verbe seulement)	zá:ní-yⁿɛ́	zá:níyⁿɛ́	zá:níyⁿɛ́	1423	FIGHT	z ⁵/aː n ⁵/i + ∼/j ⁵/ɛ	3 7 4 7 9 6 7	AXBZ_AX	SANI_JE	37	37.S.C 37.A.V 37.N.C 37.I.V 37._._ 37.J.C 37.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1417 1415
2836	Yorno_So	fight (verb only)	lutter (verbe seulement)	jày-ɛ́:	jày-ɛ́:-	jày-ɛ́:	1423	FIGHT	dʒ ¹/a + j ⁵/ɛː	1 7 9 6 7	AX_AX	TA_JE	38	38.T.C 38.A.V 38._._ 38.J.C 38.E.V	2.0 1.5 0.0 2.0 1.5	0	1416 1415
2837	Donno_So	fight (verb only)	lutter (verbe seulement)	jàgùl-ɛ́:	jàgùl-ɛ́:-	jàgùl-ɛ́:	1423	FIGHT	dʒ ¹/a ɡ ¹/u + l ⁵/ɛː	1 7 1 7 9 5 7	AXBZ_AX	TAKY_LE	18	18.T.C 18.A.V 18.K.C 18.Y.V 18._._ 18.L.C 18.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1416 1420
2838	Jamsay	fight (verb only)	lutter (verbe seulement)	jɛ̀yɛ́	jɛ̀yɛ́ ~ jɛ̌:	jɛ̀yɛ́	1423	FIGHT	dʒ ¹/ɛ + j ⁵/ɛ	1 7 9 6 7	AX_AX	TE_JE	21	21.T.C 21.E.V 21._._ 21.J.C 21.E.V	2.0 1.5 0.0 2.0 1.5	0	1416 1415
2839	Mombo	fight (verb only)	lutter (verbe seulement)	jáwⁿ-yⁿè	jáwⁿyⁿè	jáwⁿ-yⁿè	1423	FIGHT	dʒ ⁵/a ∼/w̃ + ∼/j ¹/e	1 7 6 9 6 7	AXN_AX	TAW_JE	23	23.T.C 23.A.V 23.W.c 23._._ 23.J.C 23.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	1417 1415
2840	Penange	fight (verb only)	lutter (verbe seulement)	jáyⁿ	jáyⁿ	jáyⁿ	1423	FIGHT	dʒ ⁵/a ∼/j	1 7 6	AXN	TAJ	25	25.T.C 25.A.V 25.J.c	2.0 1.5 0.8	0	1423
2841	Tiranige_Diga	fight (verb only)	lutter (verbe seulement)	yáŋí-yó	yáŋí-yó	yáŋí-yó	1423	FIGHT	j ⁵/a ŋ ⁵/i + j ⁵/o	6 7 4 7 9 6 7	AXBZ_AX	JANI_JU	31	31.J.C 31.A.V 31.N.C 31.I.V 31._._ 31.J.C 31.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1417 1415
2842	Perge_Tegu	fight (verb only)	lutter (verbe seulement)	jàyá	jàyá	jàyá	1424	FIGHT	dʒ ¹/a j ⁵/a	1 7 6 7	AXBZ	TAJA	26	26.T.C 26.A.V 26.J.C 26.A.V	2.0 1.5 1.75 0.8	0	1416
2843	Songhai_Senni	[intr] fight, tussle, wrestle	se battre, lutter [cf. noun gùrg-ò ].	gùr-jèy	gùrjèy	gùrjèy	1423	FIGHT	ɡ ¹/u r + dʒ ¹/e + j	1 7 5 9 1 7 9 6	AXN_AX_A	KYR_TE_J	28	28.K.C 28.Y.V 28.R.c 28._._ 28.T.C 28.E.V 28._._ 28.J.C	2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0	0	1424 1416 1425
2844	Bondu_So	fight (verb only)	lutter (verbe seulement)	jáːŋí-y	jáːŋí-y	jáːŋí-y	1423	FIGHT	dʒ ⁵/aː ŋ ⁵/i + j	1 7 4 7 9 6	AXBZ_A	TANI_J	6	6.T.C 6.A.V 6.N.C 6.I.V 6._._ 6.J.C	2.0 1.5 1.75 0.8 0.0 2.0	0	1417 1418
2845	Bambara	war	guerre	kɛlɛ	kɛlɛ	kɛlɛ	1423	FIGHT	k ɛ l ɛ								
2846	Bangime	get, find	obtenir, gagner	kārà	kārà	kārà	719	FIND	k ³/a r ¹/a	1 7 5 7	AXBZ	KARA	3	3.K.C 3.A.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	0	1427
2847	Fulfulde	get, find	obtenir, gagner	taw-ude	tawude	taw-ude	719	FIND	t a w + u d e	1 7 6 9 7 1 7	AXN_XBZ	TAW_YTE	19	19.T.C 19.A.V 19.W.c 19._._ 19.Y.V 19.T.C 19.E.V	2.0 1.5 0.8 0.0 1.5 1.75 0.8	0	1432 1433
2848	Jenaama	get, find	obtenir, gagner	ā-kìlɛ̀	ā-kìlɛ̀	ā-kìlɛ̀	719	FIND	³/a + k ¹/i l ¹/ɛ	7 9 1 7 5 7	X_AXBZ	A_KILE	22	22.A.V 22._._ 22.K.C 22.I.V 22.L.C 22.E.V	1.5 0.0 2.0 1.5 1.75 0.8	0	1434 1427
2849	Bozo_Hainyaxo		trouver	kiɛ	kiɛ	kiɛ	719	FIND	k i ɛ	1 7 7	AXZ	KIE	8	8.K.C 8.I.V 8.E.V	2.0 1.5 0.8	0	1427
2850	Bozo_Pondori_nord		trouver	kirɛⁿ	kirɛⁿ	kirɛⁿ	719	FIND	k i r ∼/ɛ	1 7 5 7	AXBZ	KIRE	12	12.K.C 12.I.V 12.R.C 12.E.V	2.0 1.5 1.75 0.8	0	1427
2851	Bozo_Tieyaxo		trouver	kire	kire	kire	719	FIND	k i r e	1 7 5 7	AXBZ	KIRE	14	14.K.C 14.I.V 14.R.C 14.E.V	2.0 1.5 1.75 0.8	0	1427
2852	Bozo_Pondori_sud		trouver	kiraⁿ	kiraⁿ	kiraⁿ	719	FIND	k i r ã	1 7 5 7	AXBZ	KIRA	13	13.K.C 13.I.V 13.R.C 13.A.V	2.0 1.5 1.75 0.8	0	1427
2853	Bozo_Kotya		trouver	kire	kire	kire	719	FIND	k i r e	1 7 5 7	AXBZ	KIRE	11	11.K.C 11.I.V 11.R.C 11.E.V	2.0 1.5 1.75 0.8	0	1427
2854	Bozo_Tiema_Cewe		trouver	kira	kira	kira	719	FIND	k i r a	1 7 5 7	AXBZ	KIRA	15	15.K.C 15.I.V 15.R.C 15.A.V	2.0 1.5 1.75 0.8	0	1427
2855	Bozo_Debo		trouver	kiraⁿ	kiraⁿ	kiraⁿ	719	FIND	k i r ã	1 7 5 7	AXBZ	KIRA	7	7.K.C 7.I.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	0	1427
2856	Bozo_Korondougou_nord		trouver	kire	kire	kire	719	FIND	k i r e	1 7 5 7	AXBZ	KIRE	9	9.K.C 9.I.V 9.R.C 9.E.V	2.0 1.5 1.75 0.8	0	1427
2857	Bozo_Korondougou_sud		trouver	kile	kile	kile	719	FIND	k i l e	1 7 5 7	AXBZ	KILE	10	10.K.C 10.I.V 10.L.C 10.E.V	2.0 1.5 1.75 0.8	0	1427
2858	Soninke		trouver	ɲí	ɲí	ɲí	719	FIND	ɲ ⁵/i	4 7	AX	NI	29	29.N.C 29.I.V	2.0 1.5	0	1435
2859	Toro_Tegu	find (a situation)	trouver (une situation)	dìrⁿú	dìrⁿú	dìrⁿú	719	FIND	d ¹/i ∼/r̃ ⁵/u	1 7 5 7	AXBZ	TIRY	36	36.T.C 36.I.V 36.R.C 36.Y.V	2.0 1.5 1.75 0.8	0	1429
2860	Ben_Tey	find (a situation)	trouver (une situation)	tɛ́mbú	tɛ́mbú	tɛ́mbú	719	FIND	t ⁵/ɛ ⁿb ⁵/u	1 7 1 7	AXBZ	TEPY	5	5.T.C 5.E.V 5.P.C 5.Y.V	2.0 1.5 1.75 0.8	0	1428
2861	Bankan_Tey	find (a situation)	trouver (une situation)	tɛ́mbí	tɛ́mbí	tɛ́mbí	719	FIND	t ⁵/ɛ ⁿb ⁵/i	1 7 1 7	AXBZ	TEPI	4	4.T.C 4.E.V 4.P.C 4.I.V	2.0 1.5 1.75 0.8	0	1428
2862	Perge_Tegu	find (a situation)	trouver (une situation)	tɛ́mbɛ́	tɛ́mbɛ́	tɛ́mbɛ́	719	FIND	t ⁵/ɛ ⁿb ⁵/ɛ	1 7 1 7	AXBZ	TEPE	26	26.T.C 26.E.V 26.P.C 26.E.V	2.0 1.5 1.75 0.8	0	1428
2863	Jamsay	find (a situation)	trouver (une situation)	tɛ́mɛ́	tɛ́mɛ́	tɛ́mɛ́	719	FIND	t ⁵/ɛ m ⁵/ɛ	1 7 4 7	AXBZ	TEME	21	21.T.C 21.E.V 21.M.C 21.E.V	2.0 1.5 1.75 0.8	0	1428
2864	Yorno_So	find (a situation)	trouver (une situation)	tɛ́mɛ́	tɛ́mɛ́	tɛ́mɛ́	719	FIND	t ⁵/ɛ m ⁵/ɛ	1 7 4 7	AXBZ	TEME	38	38.T.C 38.E.V 38.M.C 38.E.V	2.0 1.5 1.75 0.8	0	1428
2865	Dogul_Dom	find (a situation)	trouver (une situation)	tɛ́mbɛ̀	tɛ́mbɛ̀, jèmlìyé	tɛ́mbɛ̀	719	FIND	t ⁵/ɛ ⁿb ¹/ɛ	1 7 1 7	AXBZ	TEPE	17	17.T.C 17.E.V 17.P.C 17.E.V	2.0 1.5 1.75 0.8	0	1428
2866	Tebul_Ure	find (a situation)	trouver (une situation)	tɛ́mbí	tɛ́mbí (tɛ́mbí-tì-)	tɛ́mbí	719	FIND	t ⁵/ɛ ⁿb ⁵/i	1 7 1 7	AXBZ	TEPI	30	30.T.C 30.E.V 30.P.C 30.I.V	2.0 1.5 1.75 0.8	0	1428
2867	Bondu_So	find (a situation)	trouver (une situation)	dìnɛ̂:	dìnɛ̂:	dìnɛ̂:	719	FIND	d ¹/i n ⁵¹/ɛː	1 7 4 7	AXBZ	TINE	6	6.T.C 6.I.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	1429
2868	Bunoge	find (a situation)	trouver (une situation)	béló-ŋgè	bélóŋgè	bélóŋgè	719	FIND	b ⁵/e l ⁵/o + ⁿɡ ¹/e	1 7 5 7 9 1 7	AXBZ_AX	PELU_KE	16	16.P.C 16.E.V 16.L.C 16.U.V 16._._ 16.K.C 16.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1430 1431
2869	Tiranige_Diga	find (a situation)	trouver (une situation)	yú:ndó	yú:ndó (Boui), jú:ndó (Ningo)	yú:ndó	719	FIND	j ⁵/uː ⁿd ⁵/o	6 7 1 7	AXBZ	JYTU	31	31.J.C 31.Y.V 31.T.C 31.U.V	2.0 1.5 1.75 0.8	0	1436
2870	Penange	find (a situation)	trouver (une situation)	témbé	témbé	témbé	719	FIND	t ⁵/e ⁿb ⁵/e	1 7 1 7	AXBZ	TEPE	25	25.T.C 25.E.V 25.P.C 25.E.V	2.0 1.5 1.75 0.8	0	1428
2871	Mombo	find (a situation)	trouver (une situation)	tɛ́mbɛ́	tɛ́mbɛ́	tɛ́mbɛ́	720	FIND	t ⁵/ɛ ⁿb ⁵/ɛ	1 7 1 7	AXBZ	TEPE	23	23.T.C 23.E.V 23.P.C 23.E.V	2.0 1.5 1.75 0.8	0	1428
2872	Nanga	find (a situation)	trouver (une situation)	tɛ́mbí	tɛ́mbí	tɛ́mbí	721	FIND	t ⁵/ɛ ⁿb ⁵/i	1 7 1 7	AXBZ	TEPI	24	24.T.C 24.E.V 24.P.C 24.I.V	2.0 1.5 1.75 0.8	0	1428
2873	Togo_Kan	find (a situation)	trouver (une situation)	tɛ́mɛ́	tɛ́mɛ́	tɛ́mɛ́	722	FIND	t ⁵/ɛ m ⁵/ɛ	1 7 4 7	AXBZ	TEME	32	32.T.C 32.E.V 32.M.C 32.E.V	2.0 1.5 1.75 0.8	0	1428
2874	Tommo_So	find (a situation)	trouver (une situation)	tɛ́mbɛ́	tɛ́mbɛ́	tɛ́mbɛ́	723	FIND	t ⁵/ɛ ⁿb ⁵/ɛ	1 7 1 7	AXBZ	TEPE	33	33.T.C 33.E.V 33.P.C 33.E.V	2.0 1.5 1.75 0.8	0	1428
2875	Yanda_Dom	find (a situation)	trouver (une situation)	tɛ́mbɛ́	tɛ́mbɛ́	tɛ́mbɛ́	724	FIND	t ⁵/ɛ ⁿb ⁵/ɛ	1 7 1 7	AXBZ	TEPE	37	37.T.C 37.E.V 37.P.C 37.E.V	2.0 1.5 1.75 0.8	0	1428
2876	Songhai_Senni	[VO] see; find (sth lost); receive (sth sent)	voir; retrouver (objet perdu); recevoir (choseːnvoyéé) [3SgO díy-à, PotPass díy-éyndí 2] -ex: ì dí: .ó.I saw them	dí:	dí:	dí:	719	FIND	d ⁵/iː	1 7	AX	TI	28	28.T.C 28.I.V	2.0 1.5	0	1429
2877	Bondu_So	find (a situation)	trouver (une situation)	dìnɛ̂ː	dìnɛ̂ː	dìnɛ̂ː	719	FIND	d ¹/i n ⁵¹/ɛː	1 7 4 7	AXBZ	TINE	6	6.T.C 6.I.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	1429
2878	Toro_Tegu	finger	doigt	lɔ̀-ìrⁿú	lɔ̀-[ì-rⁿú]	lɔ̀-ìrⁿú	1303	FINGER	l ¹/ɔ + ¹/i ∼/r̃ ⁵/u	5 7 9 7 5 7	AX_XBZ	LU_IRY	36	36.L.C 36.U.V 36._._ 36.I.V 36.R.C 36.Y.V	2.0 1.5 0.0 1.5 1.75 0.8	0	1440 1441
2879	Ben_Tey	finger	doigt	nà:-sî:ⁿ	nà:-sî:ⁿ	nà:-sî:ⁿ	1303	FINGER	n ¹/aː + s ⁵¹/ĩ:	4 7 9 3 7	AX_AX	NA_SI	5	5.N.C 5.A.V 5._._ 5.S.C 5.I.V	2.0 1.5 0.0 2.0 1.5	0	1440 1441
2880	Bankan_Tey	finger	doigt	nà:-sìrî:	nà:-sìrî:	nà:-sìrî:	1303	FINGER	n ¹/aː + s ¹/i r ⁵¹/iː	4 7 9 3 7 5 7	AX_AXBZ	NA_SIRI	4	4.N.C 4.A.V 4._._ 4.S.C 4.I.V 4.R.C 4.I.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	1440 1441
2881	Nanga	finger	doigt	là-sìrî	làsìrî	là-sìrî	1303	FINGER	l ¹/a + s ¹/i r ⁵¹/i	5 7 9 3 7 5 7	AX_AXBZ	LA_SIRI	24	24.L.C 24.A.V 24._._ 24.S.C 24.I.V 24.R.C 24.I.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	1440 1441
2882	Perge_Tegu	finger	doigt	nùwⁿò-šî:ⁿ	nùwⁿò-šî:ⁿ	nùwⁿò-šî:ⁿ	1303	FINGER	n ¹/u ∼/w̃ ¹/o + ʃ ⁵¹/ĩ:	4 7 6 7 9 3 7	AXBZ_AX	NYWU_SI	26	26.N.C 26.Y.V 26.W.C 26.U.V 26._._ 26.S.C 26.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1442 1441
2883	Gourou	finger	doigt	nùmò-î:ⁿ	nùmò î:ⁿ	nùmò-î:ⁿ	1303	FINGER	n ¹/u m ¹/o + ⁵¹/ĩ:	4 7 4 7 9 7	AXBZ_X	NYMU_I	20	20.N.C 20.Y.V 20.M.C 20.U.V 20._._ 20.I.V	2.0 1.5 1.75 0.8 0.0 1.5	0	1442 1449
2884	Togo_Kan	finger	doigt	nùmɔ̀-í:ⁿ	nùmɔ̀-í:ⁿ	nùmɔ̀-í:ⁿ	1303	FINGER	n ¹/u m ¹/ɔ + ⁵/ĩ:	4 7 4 7 9 7	AXBZ_X	NYMU_I	32	32.N.C 32.Y.V 32.M.C 32.U.V 32._._ 32.I.V	2.0 1.5 1.75 0.8 0.0 1.5	0	1442 1449
2885	Yorno_So	finger	doigt	nɔ̀yⁿ-sǎy	nɔ̀yⁿ-sǎy	nɔ̀yⁿ-sǎy	1303	FINGER	n ¹/ɔ ∼/j + s ¹⁵/a + j	4 7 6 9 3 7 9 6	AXN_AX_A	NUJ_SA_J	38	38.N.C 38.U.V 38.J.c 38._._ 38.S.C 38.A.V 38._._ 38.J.C	2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0	0	1442 1441 1448
2886	Tommo_So	finger	doigt	nùmɔ̀-sǎy	nùmɔ̀ sǎy	nùmɔ̀-sǎy	1303	FINGER	n ¹/u m ¹/ɔ + s ¹⁵/a + j	4 7 4 7 9 3 7 9 6	AXBZ_AX_A	NYMU_SA_J	33	33.N.C 33.Y.V 33.M.C 33.U.V 33._._ 33.S.C 33.A.V 33._._ 33.J.C	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0	0	1442 1441 1448
2887	Dogul_Dom	finger	doigt	nùmɔ̀-sây-g	nùmɔ̀-sâyg	nùmɔ̀-sâyg	1303	FINGER	n ¹/u m ¹/ɔ + s ⁵¹/a + j + ɡ	4 7 4 7 9 3 7 9 6 9 1	AXBZ_AX_A_A	NYMU_SA_J_K	17	17.N.C 17.Y.V 17.M.C 17.U.V 17._._ 17.S.C 17.A.V 17._._ 17.J.C 17._._ 17.K.C	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 0.0 2.0	0	1442 1441 1448 1449
2888	Tebul_Ure	finger	doigt	nùmà:-íyɛ́	nùmà:-íyɛ́	nùmà:-íyɛ́	1303	FINGER	n ¹/u m ¹/aː + ⁵/i + j ⁵/ɛ	4 7 4 7 9 7 9 6 7	AXBZ_X_AX	NYMA_I_JE	30	30.N.C 30.Y.V 30.M.C 30.A.V 30._._ 30.I.V 30._._ 30.J.C 30.E.V	2.0 1.5 1.75 0.8 0.0 1.5 0.0 2.0 1.5	0	1442 1449 1458
2889	Yanda_Dom	finger	doigt	nùmà-é:	nùmà-é:, nùmà-yé	nùmà-é:	1303	FINGER	n ¹/u m ¹/a + ⁵/eː	4 7 4 7 9 7	AXBZ_X	NYMA_E	37	37.N.C 37.Y.V 37.M.C 37.A.V 37._._ 37.E.V	2.0 1.5 1.75 0.8 0.0 1.5	0	1442 1449
2890	Bondu_So	finger	doigt	nùmà-sɛ́ndɔ̀:	nùmà-sɛ́ndɔ̀:	nùmà-sɛ́ndɔ̀:	1303	FINGER	n ¹/u m ¹/a + s ⁵/ɛ + ⁿd ¹/ɔː	4 7 4 7 9 3 7 9 1 7	AXBZ_AX_AX	NYMA_SE_TU	6	6.N.C 6.Y.V 6.M.C 6.A.V 6._._ 6.S.C 6.E.V 6._._ 6.T.C 6.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	1442 1441 1443
2891	Bunoge	finger	doigt	nùmɛ́-sè	nùmɛ́-sè (def -sê: nɔ̀, pl sě:-gè)	nùmɛ́-sè	1303	FINGER	n ¹/u m ⁵/ɛ + s ¹/e	4 7 4 7 9 3 7	AXBZ_AX	NYME_SE	16	16.N.C 16.Y.V 16.M.C 16.E.V 16._._ 16.S.C 16.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1442 1441
2892	Jamsay	finger	doigt	nùmò-î:ⁿ	nùmò-î:ⁿ	nùmò-î:ⁿ	1303	FINGER	n ¹/u m ¹/o + ⁵¹/ĩ:	4 7 4 7 9 7	AXBZ_X	NYMU_I	21	21.N.C 21.Y.V 21.M.C 21.U.V 21._._ 21.I.V	2.0 1.5 1.75 0.8 0.0 1.5	0	1442 1449
2893	Donno_So	finger	doigt	nùmɔ̀-sàý	nùmɔ̀ sà-ý	nùmɔ̀-sàý	1303	FINGER	n ¹/u m ¹/ɔ + s ¹/a vj	4 7 4 7 9 3 7 3	AXBZ_AXN	NYMU_SAB	18	18.N.C 18.Y.V 18.M.C 18.U.V 18._._ 18.S.C 18.A.V 18.B.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	1442 1441
2894	Tomo_Kan	finger	doigt	nùmè-ʔí:ⁿ	nùmè-ʔí:ⁿ	nùmè-ʔí:ⁿ	1303	FINGER	n ¹/u m ¹/e + ʔ ⁵/ĩ:	4 7 4 7 9 1 7	AXBZ_AX	NYME_HI	34	34.N.C 34.Y.V 34.M.C 34.E.V 34._._ 34.H.C 34.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1442 1441
2895	Tiranige_Diga	finger	doigt	nùmá-sèŋgé	nùmá sèŋgé (hand ...), númí-yɛ́ sě: (sè:-ŋgé)	nùmá-sèŋgé	1303	FINGER	n ¹/u m ⁵/a + s ¹/e + ⁿɡ ⁵/e	4 7 4 7 9 3 7 9 1 7	AXBZ_AX_AX	NYMA_SE_KE	31	31.N.C 31.Y.V 31.M.C 31.A.V 31._._ 31.S.C 31.E.V 31._._ 31.K.C 31.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	1442 1441 1443
2896	Mombo	finger	doigt	nɛ̀:-sí:	nɛ̀: sí:	nɛ̀:-sí:	1303	FINGER	n ¹/ɛː + s ⁵/iː	4 7 9 3 7	AX_AX	NE_SI	23	23.N.C 23.E.V 23._._ 23.S.C 23.I.V	2.0 1.5 0.0 2.0 1.5	0	1440 1441
2897	Penange	finger	doigt	nɛ̀:-sé	nɛ̀:-sé (pl -sé:-gè)	nɛ̀:-sé	1303	FINGER	n ¹/ɛː + s ⁵/e	4 7 9 3 7	AX_AX	NE_SE	25	25.N.C 25.E.V 25._._ 25.S.C 25.E.V	2.0 1.5 0.0 2.0 1.5	0	1440 1441
2898	Bangime	finger	doigt	nìī-ŋ̄-kūwⁿɛ̀ɛ̀	nìī-ŋ̄-kūwⁿɛ̀ɛ̀	nìī-ŋ̄-kūwⁿɛ̀ɛ̀	1303	FINGER	n ³/¹/i: + ŋ + k ³/u ∼/w̃ ¹/ɛː	4 8 9 4 9 1 7 6 7	AT_A_AXBZ	N6_N_KYWE	3	3.N.C 3.6.T 3._._ 3.N.C 3._._ 3.K.C 3.Y.V 3.W.C 3.E.V	1.6 1.0 0.0 1.6 0.0 1.6 3.0 1.3 0.7	0	1437 1438 1439
2899	Fulfulde	finger	doigt	feɗeendu	feɗeendu	feɗeendu	1303	FINGER	f e ɗ eː + n d u	3 7 1 7 4 1 7	AXBYMBZ	BETENTY	19	19.B.C 19.E.V 19.T.C 19.E.V 19.N.c 19.T.C 19.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	1450
2900	Jenaama	finger	doigt	sùgū-kɔ̀ɔ̀njɛ́wⁿ	sùgū-kɔ̀ɔ̀njɛ́wⁿ	sùgū-kɔ̀ɔ̀njɛ́wⁿ	1303	FINGER	s ¹/u ɡ ³/u + k ¹/ɔː ⁿdʒ ⁵/ɛ + ∼/w̃	3 7 1 7 9 1 7 1 7 9 6	AXBZ_AXBZ_A	SYKY_KUTE_W	22	22.S.C 22.Y.V 22.K.C 22.Y.V 22._._ 22.K.C 22.U.V 22.T.C 22.E.V 22._._ 22.W.C	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0	0	1446 1451 1448
2901	Songhai_Senni	finger	doigt	kàmb-ù-kòb-í:z-ò	[kàmb-ù]-[kòb-í:z-ò]	kàmb-ù-kòb-í:z-ò	1303	FINGER	k ¹/a ⁿb + ¹/u + k ¹/o b + ⁵/iː z + ¹/o	1 7 1 9 7 9 1 7 1 9 7 3 9 7	AXN_X_AXN_XN_X	KAP_Y_KUP_IS_U	28	28.K.C 28.A.V 28.P.c 28._._ 28.Y.V 28._._ 28.K.C 28.U.V 28.P.c 28._._ 28.I.V 28.S.c 28._._ 28.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8 0.0 1.5 0.8 0.0 1.5	0	1452 1453 1454 1455 1456
2902	Bozo_Korondougou_nord		doigt	kirihoⁿnoⁿŋoⁿ	kirihoⁿnoⁿŋoⁿ	kirihoⁿnoⁿŋoⁿ	1303	FINGER	k i r i + h õ n õ ŋ õ	1 7 5 7 9 3 7 4 7 4 7	AXBZ_AXBYBZ	KIRI_HUNUNU	9	9.K.C 9.I.V 9.R.C 9.I.V 9._._ 9.H.C 9.U.V 9.N.C 9.U.V 9.N.C 9.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	0	1444 1445
2903	Bozo_Korondougou_nord		doigt	suukoⁿoⁿno	suukoⁿoⁿno	suukoⁿoⁿno	1303	FINGER	s uː + k õ: n o	3 7 9 1 7 4 7	AX_AXBZ	SY_KUNU	9	9.S.C 9.Y.V 9._._ 9.K.C 9.U.V 9.N.C 9.U.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	1446 1459
2904	Bozo_Korondougou_sud		doigt	suuxoⁿnɛ	suuxoⁿnɛ	suuxoⁿnɛ	1303	FINGER	s uː õ + n ɛ	3 7 7 9 4 7	AXZ_AX	SYU_NE	10	10.S.C 10.Y.V 10.U.V 10._._ 10.N.C 10.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	1446 1447
